"","empo_3","Phylum","Abundance","Rreq"
"1","Aerosol (non-saline)","Acidobacteria",65715,"0.8%"
"2","Aerosol (non-saline)","Actinobacteria",718035,"8.73%"
"3","Aerosol (non-saline)","Aerophobetes",3,"0%"
"4","Aerosol (non-saline)","Aminicenantes",114,"0%"
"5","Aerosol (non-saline)","aquifer1",2131,"0.03%"
"6","Aerosol (non-saline)","Armatimonadetes",7036,"0.09%"
"7","Aerosol (non-saline)","Atribacteria",171,"0%"
"8","Aerosol (non-saline)","Bacteroidetes",825065,"10.03%"
"9","Aerosol (non-saline)","Caldiserica",3,"0%"
"10","Aerosol (non-saline)","Candidate division OP3",149,"0%"
"11","Aerosol (non-saline)","Candidate division SR1",3317,"0.04%"
"12","Aerosol (non-saline)","Chlamydiae",571,"0.01%"
"13","Aerosol (non-saline)","Chlorobi",645,"0.01%"
"14","Aerosol (non-saline)","Chloroflexi",22528,"0.27%"
"15","Aerosol (non-saline)","Cloacimonetes",349,"0%"
"16","Aerosol (non-saline)","Cyanobacteria",1425687,"17.33%"
"17","Aerosol (non-saline)","Deferribacteres",12,"0%"
"18","Aerosol (non-saline)","Deinococcus-Thermus",2993,"0.04%"
"19","Aerosol (non-saline)","Elusimicrobia",759,"0.01%"
"20","Aerosol (non-saline)","Euryarchaeota",6509,"0.08%"
"21","Aerosol (non-saline)","Fibrobacteres",2681,"0.03%"
"22","Aerosol (non-saline)","Firmicutes",2384579,"28.98%"
"23","Aerosol (non-saline)","Fusobacteria",71051,"0.86%"
"24","Aerosol (non-saline)","GAL08",1,"0%"
"25","Aerosol (non-saline)","Gemmatimonadetes",17409,"0.21%"
"26","Aerosol (non-saline)","Gracilibacteria",13,"0%"
"27","Aerosol (non-saline)","Hyd24-12",11,"0%"
"28","Aerosol (non-saline)","Hydrogenedentes",195,"0%"
"29","Aerosol (non-saline)","JL-ETNP-Z39",28,"0%"
"30","Aerosol (non-saline)","Latescibacteria",189,"0%"
"31","Aerosol (non-saline)","Lentisphaerae",2958,"0.04%"
"32","Aerosol (non-saline)","Marinimicrobia (SAR406 clade)",498,"0.01%"
"33","Aerosol (non-saline)","Microgenomates",3,"0%"
"34","Aerosol (non-saline)","Miscellaneous Crenarchaeotic Group",15,"0%"
"35","Aerosol (non-saline)","Nitrospirae",2424,"0.03%"
"36","Aerosol (non-saline)","Omnitrophica",3,"0%"
"37","Aerosol (non-saline)","Parcubacteria",660,"0.01%"
"38","Aerosol (non-saline)","PAUC34f",2,"0%"
"39","Aerosol (non-saline)","Planctomycetes",17895,"0.22%"
"40","Aerosol (non-saline)","Proteobacteria",2538308,"30.85%"
"41","Aerosol (non-saline)","Saccharibacteria",2235,"0.03%"
"42","Aerosol (non-saline)","SHA-109",335,"0%"
"43","Aerosol (non-saline)","SM2F11",5,"0%"
"44","Aerosol (non-saline)","Spirochaetae",14928,"0.18%"
"45","Aerosol (non-saline)","Synergistetes",1844,"0.02%"
"46","Aerosol (non-saline)","TA06",9,"0%"
"47","Aerosol (non-saline)","Tenericutes",14461,"0.18%"
"48","Aerosol (non-saline)","Thaumarchaeota",6196,"0.08%"
"49","Aerosol (non-saline)","Thermotogae",5877,"0.07%"
"50","Aerosol (non-saline)","TM6",970,"0.01%"
"51","Aerosol (non-saline)","uncultured archaeon",1,"0%"
"52","Aerosol (non-saline)","Verrucomicrobia",59161,"0.72%"
"53","Aerosol (non-saline)","WCHB1-60",9,"0%"
"54","Aerosol (non-saline)","WD272",1656,"0.02%"
"55","Aerosol (non-saline)","Woesearchaeota (DHVEG-6)",2,"0%"
"56","Animal corpus","Acetothermia",47,"0%"
"57","Animal corpus","Acidobacteria",33383,"0.65%"
"58","Animal corpus","Actinobacteria",940836,"18.35%"
"59","Animal corpus","Aerophobetes",243,"0%"
"60","Animal corpus","Aminicenantes",244,"0%"
"61","Animal corpus","aquifer1",23,"0%"
"62","Animal corpus","Aquificae",12,"0%"
"63","Animal corpus","Armatimonadetes",2576,"0.05%"
"64","Animal corpus","Atribacteria",1014,"0.02%"
"65","Animal corpus","Bacteroidetes",265073,"5.17%"
"66","Animal corpus","Caldiserica",2,"0%"
"67","Animal corpus","Candidate division OP3",118,"0%"
"68","Animal corpus","Candidate division SR1",58,"0%"
"69","Animal corpus","Chlamydiae",114,"0%"
"70","Animal corpus","Chlorobi",926,"0.02%"
"71","Animal corpus","Chloroflexi",2474,"0.05%"
"72","Animal corpus","Cyanobacteria",123478,"2.41%"
"73","Animal corpus","Deferribacteres",52,"0%"
"74","Animal corpus","Deinococcus-Thermus",474,"0.01%"
"75","Animal corpus","Elusimicrobia",17,"0%"
"76","Animal corpus","Euryarchaeota",416,"0.01%"
"77","Animal corpus","Fibrobacteres",58,"0%"
"78","Animal corpus","Firmicutes",540593,"10.54%"
"79","Animal corpus","Fusobacteria",9791,"0.19%"
"80","Animal corpus","Gemmatimonadetes",2488,"0.05%"
"81","Animal corpus","GOUTA4",10,"0%"
"82","Animal corpus","Gracilibacteria",7,"0%"
"83","Animal corpus","Hyd24-12",54,"0%"
"84","Animal corpus","Hydrogenedentes",40,"0%"
"85","Animal corpus","JL-ETNP-Z39",20,"0%"
"86","Animal corpus","Latescibacteria",12,"0%"
"87","Animal corpus","LCP-89",8,"0%"
"88","Animal corpus","Lentisphaerae",29,"0%"
"89","Animal corpus","Marinimicrobia (SAR406 clade)",920,"0.02%"
"90","Animal corpus","Microgenomates",3,"0%"
"91","Animal corpus","Miscellaneous Crenarchaeotic Group",4,"0%"
"92","Animal corpus","Nitrospirae",268,"0.01%"
"93","Animal corpus","Parcubacteria",35,"0%"
"94","Animal corpus","Planctomycetes",1799,"0.04%"
"95","Animal corpus","Proteobacteria",3180203,"62.02%"
"96","Animal corpus","Saccharibacteria",181,"0%"
"97","Animal corpus","SHA-109",12,"0%"
"98","Animal corpus","SM2F11",12,"0%"
"99","Animal corpus","Spirochaetae",544,"0.01%"
"100","Animal corpus","Synergistetes",163,"0%"
"101","Animal corpus","TA06",6,"0%"
"102","Animal corpus","Tenericutes",7571,"0.15%"
"103","Animal corpus","Thaumarchaeota",584,"0.01%"
"104","Animal corpus","Thermotogae",39,"0%"
"105","Animal corpus","TM6",137,"0%"
"106","Animal corpus","Verrucomicrobia",10794,"0.21%"
"107","Animal corpus","WCHB1-60",16,"0%"
"108","Animal corpus","WD272",2,"0%"
"109","Animal corpus","Woesearchaeota (DHVEG-6)",1,"0%"
"110","Animal distal gut","Acidobacteria",1368,"0.02%"
"111","Animal distal gut","Actinobacteria",255935,"2.81%"
"112","Animal distal gut","Aerophobetes",1,"0%"
"113","Animal distal gut","Aminicenantes",6,"0%"
"114","Animal distal gut","aquifer1",17,"0%"
"115","Animal distal gut","Armatimonadetes",306,"0%"
"116","Animal distal gut","Bacteroidetes",1915725,"21.05%"
"117","Animal distal gut","Caldiserica",6,"0%"
"118","Animal distal gut","Candidate division OP3",2,"0%"
"119","Animal distal gut","Candidate division SR1",8,"0%"
"120","Animal distal gut","Chlamydiae",78,"0%"
"121","Animal distal gut","Chlorobi",33,"0%"
"122","Animal distal gut","Chloroflexi",2520,"0.03%"
"123","Animal distal gut","CKC4",1039,"0.01%"
"124","Animal distal gut","Cyanobacteria",173918,"1.91%"
"125","Animal distal gut","Deferribacteres",42,"0%"
"126","Animal distal gut","Deinococcus-Thermus",306,"0%"
"127","Animal distal gut","Elusimicrobia",1639,"0.02%"
"128","Animal distal gut","Euryarchaeota",29710,"0.33%"
"129","Animal distal gut","Fibrobacteres",3715,"0.04%"
"130","Animal distal gut","Firmicutes",3899629,"42.84%"
"131","Animal distal gut","Fusobacteria",127764,"1.4%"
"132","Animal distal gut","Gemmatimonadetes",117,"0%"
"133","Animal distal gut","Gracilibacteria",252,"0%"
"134","Animal distal gut","Hydrogenedentes",13,"0%"
"135","Animal distal gut","Kazan-3B-09",1,"0%"
"136","Animal distal gut","Latescibacteria",19,"0%"
"137","Animal distal gut","Lentisphaerae",15139,"0.17%"
"138","Animal distal gut","Marinimicrobia (SAR406 clade)",98,"0%"
"139","Animal distal gut","Microgenomates",9,"0%"
"140","Animal distal gut","Miscellaneous Crenarchaeotic Group",1,"0%"
"141","Animal distal gut","Nitrospirae",82,"0%"
"142","Animal distal gut","Omnitrophica",1,"0%"
"143","Animal distal gut","Parcubacteria",9,"0%"
"144","Animal distal gut","Planctomycetes",17076,"0.19%"
"145","Animal distal gut","Proteobacteria",2414998,"26.53%"
"146","Animal distal gut","RsaHF231",41,"0%"
"147","Animal distal gut","Saccharibacteria",391,"0%"
"148","Animal distal gut","SHA-109",273,"0%"
"149","Animal distal gut","Spirochaetae",45267,"0.5%"
"150","Animal distal gut","Synergistetes",1914,"0.02%"
"151","Animal distal gut","TA06",2,"0%"
"152","Animal distal gut","Tenericutes",93010,"1.02%"
"153","Animal distal gut","Thaumarchaeota",107,"0%"
"154","Animal distal gut","TM6",49,"0%"
"155","Animal distal gut","Verrucomicrobia",99716,"1.1%"
"156","Animal distal gut","WCHB1-60",27,"0%"
"157","Animal distal gut","WD272",4,"0%"
"158","Animal distal gut","Woesearchaeota (DHVEG-6)",2,"0%"
"159","Animal proximal gut","Acidobacteria",2004,"0.03%"
"160","Animal proximal gut","Actinobacteria",522437,"6.87%"
"161","Animal proximal gut","aquifer1",43,"0%"
"162","Animal proximal gut","Aquificae",5,"0%"
"163","Animal proximal gut","Armatimonadetes",91,"0%"
"164","Animal proximal gut","Bacteroidetes",1588077,"20.87%"
"165","Animal proximal gut","Caldiserica",4,"0%"
"166","Animal proximal gut","Candidate division OP3",1,"0%"
"167","Animal proximal gut","Candidate division SR1",282,"0%"
"168","Animal proximal gut","Chlamydiae",78,"0%"
"169","Animal proximal gut","Chlorobi",38,"0%"
"170","Animal proximal gut","Chloroflexi",1631,"0.02%"
"171","Animal proximal gut","Cyanobacteria",198842,"2.61%"
"172","Animal proximal gut","Deferribacteres",112,"0%"
"173","Animal proximal gut","Deinococcus-Thermus",548,"0.01%"
"174","Animal proximal gut","Elusimicrobia",52,"0%"
"175","Animal proximal gut","Euryarchaeota",15879,"0.21%"
"176","Animal proximal gut","Fibrobacteres",14306,"0.19%"
"177","Animal proximal gut","Firmicutes",3358560,"44.14%"
"178","Animal proximal gut","Fusobacteria",11470,"0.15%"
"179","Animal proximal gut","Gemmatimonadetes",601,"0.01%"
"180","Animal proximal gut","Gracilibacteria",32,"0%"
"181","Animal proximal gut","Hydrogenedentes",3,"0%"
"182","Animal proximal gut","Latescibacteria",3,"0%"
"183","Animal proximal gut","Lentisphaerae",9934,"0.13%"
"184","Animal proximal gut","Marinimicrobia (SAR406 clade)",2,"0%"
"185","Animal proximal gut","Nitrospirae",39,"0%"
"186","Animal proximal gut","Omnitrophica",8,"0%"
"187","Animal proximal gut","Parcubacteria",5,"0%"
"188","Animal proximal gut","PAUC34f",1,"0%"
"189","Animal proximal gut","Planctomycetes",89883,"1.18%"
"190","Animal proximal gut","Proteobacteria",1371070,"18.02%"
"191","Animal proximal gut","Saccharibacteria",57,"0%"
"192","Animal proximal gut","SHA-109",337,"0%"
"193","Animal proximal gut","SM2F11",1,"0%"
"194","Animal proximal gut","Spirochaetae",137338,"1.8%"
"195","Animal proximal gut","Synergistetes",2241,"0.03%"
"196","Animal proximal gut","Tenericutes",21776,"0.29%"
"197","Animal proximal gut","Thaumarchaeota",568,"0.01%"
"198","Animal proximal gut","Thermotogae",4,"0%"
"199","Animal proximal gut","TM6",56,"0%"
"200","Animal proximal gut","Verrucomicrobia",261203,"3.43%"
"201","Animal proximal gut","WCHB1-60",5,"0%"
"202","Animal proximal gut","WD272",80,"0%"
"203","Animal proximal gut","Woesearchaeota (DHVEG-6)",35,"0%"
"204","Animal secretion","Acidobacteria",7412,"0.1%"
"205","Animal secretion","Actinobacteria",750903,"10.03%"
"206","Animal secretion","Aerophobetes",1,"0%"
"207","Animal secretion","Aminicenantes",32,"0%"
"208","Animal secretion","aquifer1",7206,"0.1%"
"209","Animal secretion","Armatimonadetes",604,"0.01%"
"210","Animal secretion","Bacteroidetes",982127,"13.12%"
"211","Animal secretion","Candidate division OP3",2,"0%"
"212","Animal secretion","Candidate division SR1",4813,"0.06%"
"213","Animal secretion","Chlamydiae",781,"0.01%"
"214","Animal secretion","Chlorobi",683,"0.01%"
"215","Animal secretion","Chloroflexi",5634,"0.08%"
"216","Animal secretion","Crenarchaeota",1,"0%"
"217","Animal secretion","Cyanobacteria",46048,"0.62%"
"218","Animal secretion","Deferribacteres",48,"0%"
"219","Animal secretion","Deinococcus-Thermus",5777,"0.08%"
"220","Animal secretion","Elusimicrobia",36,"0%"
"221","Animal secretion","Euryarchaeota",842,"0.01%"
"222","Animal secretion","Fibrobacteres",21,"0%"
"223","Animal secretion","Firmicutes",2390653,"31.94%"
"224","Animal secretion","Fusobacteria",309677,"4.14%"
"225","Animal secretion","Gemmatimonadetes",3799,"0.05%"
"226","Animal secretion","GOUTA4",2,"0%"
"227","Animal secretion","Gracilibacteria",917,"0.01%"
"228","Animal secretion","Hydrogenedentes",241,"0%"
"229","Animal secretion","JL-ETNP-Z39",17,"0%"
"230","Animal secretion","Latescibacteria",56,"0%"
"231","Animal secretion","LCP-89",1,"0%"
"232","Animal secretion","Lentisphaerae",162,"0%"
"233","Animal secretion","Marinimicrobia (SAR406 clade)",471,"0.01%"
"234","Animal secretion","Microgenomates",49,"0%"
"235","Animal secretion","Miscellaneous Crenarchaeotic Group",17,"0%"
"236","Animal secretion","Nitrospirae",786,"0.01%"
"237","Animal secretion","OC31",1,"0%"
"238","Animal secretion","Omnitrophica",1,"0%"
"239","Animal secretion","Parcubacteria",160,"0%"
"240","Animal secretion","PAUC34f",2,"0%"
"241","Animal secretion","Planctomycetes",3125,"0.04%"
"242","Animal secretion","Proteobacteria",2792267,"37.3%"
"243","Animal secretion","Saccharibacteria",6599,"0.09%"
"244","Animal secretion","SHA-109",31,"0%"
"245","Animal secretion","SM2F11",15,"0%"
"246","Animal secretion","Spirochaetae",7108,"0.09%"
"247","Animal secretion","Synergistetes",967,"0.01%"
"248","Animal secretion","TA06",17,"0%"
"249","Animal secretion","Tenericutes",148187,"1.98%"
"250","Animal secretion","Thaumarchaeota",627,"0.01%"
"251","Animal secretion","TM6",61,"0%"
"252","Animal secretion","Verrucomicrobia",6691,"0.09%"
"253","Animal secretion","WCHB1-60",29,"0%"
"254","Animal secretion","WD272",25,"0%"
"255","Animal secretion","Woesearchaeota (DHVEG-6)",18,"0%"
"256","Animal surface","Acidobacteria",22815,"0.24%"
"257","Animal surface","Actinobacteria",1195171,"12.54%"
"258","Animal surface","Aerophobetes",2,"0%"
"259","Animal surface","Aminicenantes",13,"0%"
"260","Animal surface","aquifer1",797,"0.01%"
"261","Animal surface","Armatimonadetes",4434,"0.05%"
"262","Animal surface","Atribacteria",29,"0%"
"263","Animal surface","Bacteroidetes",939832,"9.86%"
"264","Animal surface","Caldiserica",4,"0%"
"265","Animal surface","Candidate division OP3",13,"0%"
"266","Animal surface","Candidate division SR1",796,"0.01%"
"267","Animal surface","Chlamydiae",334,"0%"
"268","Animal surface","Chlorobi",908,"0.01%"
"269","Animal surface","Chloroflexi",10418,"0.11%"
"270","Animal surface","CKC4",26,"0%"
"271","Animal surface","Cloacimonetes",4,"0%"
"272","Animal surface","Cyanobacteria",208679,"2.19%"
"273","Animal surface","Deferribacteres",72,"0%"
"274","Animal surface","Deinococcus-Thermus",8109,"0.09%"
"275","Animal surface","Elusimicrobia",157,"0%"
"276","Animal surface","Euryarchaeota",937,"0.01%"
"277","Animal surface","Fibrobacteres",157,"0%"
"278","Animal surface","Firmicutes",1931918,"20.27%"
"279","Animal surface","Fusobacteria",107148,"1.12%"
"280","Animal surface","GAL08",1,"0%"
"281","Animal surface","Gemmatimonadetes",8330,"0.09%"
"282","Animal surface","GOUTA4",1,"0%"
"283","Animal surface","Gracilibacteria",360,"0%"
"284","Animal surface","Hydrogenedentes",500,"0.01%"
"285","Animal surface","JL-ETNP-Z39",17,"0%"
"286","Animal surface","Latescibacteria",170,"0%"
"287","Animal surface","LCP-89",1,"0%"
"288","Animal surface","Lentisphaerae",946,"0.01%"
"289","Animal surface","Marine Hydrothermal Vent Group(MHVG)",5,"0%"
"290","Animal surface","Marinimicrobia (SAR406 clade)",42,"0%"
"291","Animal surface","Microgenomates",11,"0%"
"292","Animal surface","Miscellaneous Crenarchaeotic Group",17,"0%"
"293","Animal surface","Nitrospirae",1271,"0.01%"
"294","Animal surface","OC31",1,"0%"
"295","Animal surface","Omnitrophica",48,"0%"
"296","Animal surface","Parcubacteria",45,"0%"
"297","Animal surface","PAUC34f",186,"0%"
"298","Animal surface","Planctomycetes",11390,"0.12%"
"299","Animal surface","Proteobacteria",4884024,"51.25%"
"300","Animal surface","RsaHF231",11,"0%"
"301","Animal surface","Saccharibacteria",433,"0%"
"302","Animal surface","SHA-109",688,"0.01%"
"303","Animal surface","SM2F11",8,"0%"
"304","Animal surface","Spirochaetae",2301,"0.02%"
"305","Animal surface","Synergistetes",351,"0%"
"306","Animal surface","TA06",188,"0%"
"307","Animal surface","Tenericutes",153480,"1.61%"
"308","Animal surface","Thaumarchaeota",1351,"0.01%"
"309","Animal surface","Thermotogae",17,"0%"
"310","Animal surface","TM6",239,"0%"
"311","Animal surface","uncultured archaeon",1,"0%"
"312","Animal surface","Verrucomicrobia",30320,"0.32%"
"313","Animal surface","WCHB1-60",158,"0%"
"314","Animal surface","WD272",161,"0%"
"315","Animal surface","Woesearchaeota (DHVEG-6)",17,"0%"
"316","Hypersaline (saline)","Acetothermia",3106,"0.34%"
"317","Hypersaline (saline)","Acidobacteria",19360,"2.09%"
"318","Hypersaline (saline)","Actinobacteria",47574,"5.15%"
"319","Hypersaline (saline)","Aenigmarchaeota",210,"0.02%"
"320","Hypersaline (saline)","Aerophobetes",77,"0.01%"
"321","Hypersaline (saline)","Aminicenantes",1274,"0.14%"
"322","Hypersaline (saline)","Armatimonadetes",1078,"0.12%"
"323","Hypersaline (saline)","Atribacteria",82,"0.01%"
"324","Hypersaline (saline)","Bacteroidetes",114614,"12.4%"
"325","Hypersaline (saline)","Caldiserica",1,"0%"
"326","Hypersaline (saline)","Candidate division OP3",364,"0.04%"
"327","Hypersaline (saline)","Candidate division SR1",34,"0%"
"328","Hypersaline (saline)","Chlamydiae",15,"0%"
"329","Hypersaline (saline)","Chlorobi",462,"0.05%"
"330","Hypersaline (saline)","Chloroflexi",18848,"2.04%"
"331","Hypersaline (saline)","Cloacimonetes",26,"0%"
"332","Hypersaline (saline)","Crenarchaeota",1,"0%"
"333","Hypersaline (saline)","Cyanobacteria",8149,"0.88%"
"334","Hypersaline (saline)","Deferribacteres",394,"0.04%"
"335","Hypersaline (saline)","Deinococcus-Thermus",4400,"0.48%"
"336","Hypersaline (saline)","Elusimicrobia",107,"0.01%"
"337","Hypersaline (saline)","Euryarchaeota",304473,"32.95%"
"338","Hypersaline (saline)","Fibrobacteres",330,"0.04%"
"339","Hypersaline (saline)","Firmicutes",6631,"0.72%"
"340","Hypersaline (saline)","Fusobacteria",77,"0.01%"
"341","Hypersaline (saline)","GAL08",1,"0%"
"342","Hypersaline (saline)","Gemmatimonadetes",4860,"0.53%"
"343","Hypersaline (saline)","Gracilibacteria",119,"0.01%"
"344","Hypersaline (saline)","Hyd24-12",508,"0.05%"
"345","Hypersaline (saline)","Hydrogenedentes",165,"0.02%"
"346","Hypersaline (saline)","JL-ETNP-Z39",27,"0%"
"347","Hypersaline (saline)","Kazan-3B-09",5,"0%"
"348","Hypersaline (saline)","Latescibacteria",1358,"0.15%"
"349","Hypersaline (saline)","LCP-89",80,"0.01%"
"350","Hypersaline (saline)","LD1-PA38",6,"0%"
"351","Hypersaline (saline)","Lentisphaerae",3160,"0.34%"
"352","Hypersaline (saline)","Marinimicrobia (SAR406 clade)",1611,"0.17%"
"353","Hypersaline (saline)","Microgenomates",29,"0%"
